# Module: SIMS v2.2 Admission & Fee Reporting System
# Export Timestamp: 2026-08-23 19:01:49
# Total Records: 17

SR.NO,COURSE NAME,ADMISSION DATE,ADMISSION ID,NAME,MOB NO,ADMISSION STATUS,TOTAL FEES,1ST INSTALLMENT,2ND INSTALLMENT,3RD INSTALLMENT,4TH INSTALLMENT,TOTAL FEES PAID,PENDING FEES,ADDRESS,FRIEND NAME,FRIEND CONTACT NO
1,KLiC Advanced Java,2026-08-23,2026-109,Anuj Pagar,9822904713,CANCELLED,"Rs. 4,000.00",—,—,—,—,Rs. 0.00,"Rs. 4,000.00",Chandwad,Rohit Shinde,9823904714
2,KLiC Advanced Excel,2026-08-23,2026-108,Anuj Pagar,9822904713,CONFIRMED,"Rs. 4,500.00","Rs. 1,500.00","Rs. 1,000.00",—,—,"Rs. 2,500.00","Rs. 2,000.00",Chandwad,Rohit Shinde,9823904714
3,KLiC Advanced Java,2026-08-23,2026-051,Anuj Pagar,9822468020,CANCELLED,"Rs. 4,000.00",—,—,—,—,Rs. 0.00,"Rs. 4,000.00",Chandwad,Rohit Shinde,9823468021
4,KLiC Advanced Excel,2026-08-23,2026-050,Anuj Pagar,9822468020,CONFIRMED,"Rs. 4,500.00","Rs. 1,500.00","Rs. 1,000.00",—,—,"Rs. 2,500.00","Rs. 2,000.00",Chandwad,Rohit Shinde,9823468021
5,KLiC Advanced Java,2026-08-21,2026-037,Anuj Pagar,9822368150,CANCELLED,"Rs. 4,000.00",—,—,—,—,Rs. 0.00,"Rs. 4,000.00",Chandwad,Rohit Shinde,9823368151
6,KLiC Advanced Excel,2026-08-21,2026-036,Anuj Pagar,9822368150,CONFIRMED,"Rs. 4,500.00","Rs. 1,500.00","Rs. 1,000.00",—,—,"Rs. 2,500.00","Rs. 2,000.00",Chandwad,Rohit Shinde,9823368151
7,KLiC Advanced Java,2026-08-21,2026-035,Anuj Pagar,9822351163,CANCELLED,"Rs. 4,000.00",—,—,—,—,Rs. 0.00,"Rs. 4,000.00",Chandwad,Rohit Shinde,9823351164
8,KLiC Advanced Excel,2026-08-21,2026-034,Anuj Pagar,9822351163,CONFIRMED,"Rs. 4,500.00","Rs. 1,500.00","Rs. 1,000.00",—,—,"Rs. 2,500.00","Rs. 2,000.00",Chandwad,Rohit Shinde,9823351164
9,KLiC Advanced Java,2026-08-21,2026-033,Anuj Pagar,9822324510,REGISTERED,"Rs. 4,000.00",—,—,—,—,Rs. 0.00,"Rs. 4,000.00",Chandwad,Rohit Shinde,9823324511
10,KLiC Advanced Excel,2026-08-21,2026-032,Anuj Pagar,9822324510,CONFIRMED,"Rs. 4,500.00","Rs. 1,500.00",—,—,—,"Rs. 1,500.00","Rs. 3,000.00",Chandwad,Rohit Shinde,9823324511
11,KLiC Advanced Java,2026-08-21,2026-015,Anuj Pagar,9822606496,CANCELLED,"Rs. 4,000.00",—,—,—,—,Rs. 0.00,"Rs. 4,000.00",Chandwad,Rohit Shinde,9823768958
12,KLiC Advanced Excel,2026-08-21,2026-014,Anuj Pagar,9822606496,CONFIRMED,"Rs. 4,500.00","Rs. 1,500.00","Rs. 1,000.00",—,—,"Rs. 2,500.00","Rs. 2,000.00",Chandwad,Rohit Shinde,9823768958
13,KLiC Advanced Java,2026-08-21,2026-013,Anuj Pagar,9822000017,CANCELLED,"Rs. 4,000.00",—,—,—,—,Rs. 0.00,"Rs. 4,000.00",Chandwad,Rohit Shinde,9823000017
14,KLiC Advanced Excel,2026-08-21,2026-012,Anuj Pagar,9822000017,CONFIRMED,"Rs. 4,500.00","Rs. 1,500.00","Rs. 1,000.00",—,—,"Rs. 2,500.00","Rs. 2,000.00",Chandwad,Rohit Shinde,9823000017
15,KLiC Mobile App Development,2026-08-21,2026-010,Anuj Raj Pagar,8010120768,CONFIRMED,"Rs. 5,200.00","Rs. 3,500.00",—,—,—,"Rs. 3,500.00","Rs. 1,700.00",Khadak Ozar,Pooja Patil,9876543212
16,KLiC Advanced Excel,2026-08-20,2026-005,Anuj Raj Pagar,8010120768,REGISTERED,"Rs. 4,000.00",—,—,—,—,Rs. 0.00,"Rs. 4,000.00",Khadak Ozar,Pooja Patil,9876543212
17,MS-CIT (Mastering IT),2026-08-20,2026-003,Anuj Raj Pagar,8010120768,CONFIRMED,"Rs. 4,000.00","Rs. 2,500.00",—,—,—,"Rs. 2,500.00","Rs. 1,500.00","near jio tower, sawargaon road",Pooja Patil,9876543212
