# Module: SIMS v2.2 Admission & Fee Reporting System
# Export Timestamp: 2026-08-23 19:04:14
# Total Records: 123

SR.NO,COURSE NAME,ADMISSION DATE,ADMISSION ID,NAME,MOB NO,ADMISSION STATUS,TOTAL FEES,1ST INSTALLMENT,2ND INSTALLMENT,3RD INSTALLMENT,4TH INSTALLMENT,TOTAL FEES PAID,PENDING FEES,ADDRESS,FRIEND NAME,FRIEND CONTACT NO
1,KLiC Advanced Excel,2026-08-23,2026-123,Payment Tester,9877492055,CONFIRMED,"Rs. 4,500.00","Rs. 1,500.00",—,—,—,"Rs. 1,500.00","Rs. 3,000.00",Chandwad,—,—
2,KLiC Advanced Java,2026-08-23,2026-122,Forensic Student,9987492053,DRAFT,"Rs. 6,000.00",—,—,—,—,Rs. 0.00,"Rs. 6,000.00",Chandwad,—,—
3,KLiC Advanced Excel,2026-08-23,2026-121,Forensic Student,9987492053,DRAFT,"Rs. 4,000.00",—,—,—,—,Rs. 0.00,"Rs. 4,000.00",Chandwad,—,—
4,KLiC Advanced Excel,2026-08-23,2026-120,Finance Invariant,9757492041,COMPLETED,"Rs. 3,000.00","Rs. 1,000.00",Rs. 400.00,"Rs. 1,600.00",—,"Rs. 3,000.00",Rs. 0.00,Chandwad,—,—
5,KLiC Advanced Excel,2026-08-23,2026-119,Payment Tester,9877492035,CONFIRMED,"Rs. 4,500.00","Rs. 1,500.00",—,—,—,"Rs. 1,500.00","Rs. 3,000.00",Chandwad,—,—
6,KLiC Advanced Java,2026-08-23,2026-118,Forensic Student,9987492033,DRAFT,"Rs. 6,000.00",—,—,—,—,Rs. 0.00,"Rs. 6,000.00",Chandwad,—,—
7,KLiC Advanced Excel,2026-08-23,2026-117,Forensic Student,9987492033,DRAFT,"Rs. 4,000.00",—,—,—,—,Rs. 0.00,"Rs. 4,000.00",Chandwad,—,—
8,KLiC Advanced Excel,2026-08-23,2026-116,Finance Invariant,9757491989,REGISTERED,"Rs. 3,000.00",—,—,—,—,Rs. 0.00,"Rs. 3,000.00",Chandwad,—,—
9,KLiC Advanced Excel,2026-08-23,2026-115,Payment Tester,9877491982,CONFIRMED,"Rs. 4,500.00","Rs. 1,500.00",—,—,—,"Rs. 1,500.00","Rs. 3,000.00",Chandwad,—,—
10,KLiC Advanced Java,2026-08-23,2026-114,Forensic Student,9987491980,DRAFT,"Rs. 6,000.00",—,—,—,—,Rs. 0.00,"Rs. 6,000.00",Chandwad,—,—
11,KLiC Advanced Excel,2026-08-23,2026-113,Forensic Student,9987491980,DRAFT,"Rs. 4,000.00",—,—,—,—,Rs. 0.00,"Rs. 4,000.00",Chandwad,—,—
12,KLiC Advanced Excel,2026-08-23,2026-112,Payment Tester,9877491963,CONFIRMED,"Rs. 4,500.00","Rs. 1,500.00",—,—,—,"Rs. 1,500.00","Rs. 3,000.00",Chandwad,—,—
13,KLiC Advanced Java,2026-08-23,2026-111,Forensic Student,9987491961,DRAFT,"Rs. 6,000.00",—,—,—,—,Rs. 0.00,"Rs. 6,000.00",Chandwad,—,—
14,KLiC Advanced Excel,2026-08-23,2026-110,Forensic Student,9987491961,DRAFT,"Rs. 4,000.00",—,—,—,—,Rs. 0.00,"Rs. 4,000.00",Chandwad,—,—
15,KLiC Advanced Java,2026-08-23,2026-109,Anuj Pagar,9822904713,CANCELLED,"Rs. 4,000.00",—,—,—,—,Rs. 0.00,"Rs. 4,000.00",Chandwad,Rohit Shinde,9823904714
16,KLiC Advanced Excel,2026-08-23,2026-108,Anuj Pagar,9822904713,CONFIRMED,"Rs. 4,500.00","Rs. 1,500.00","Rs. 1,000.00",—,—,"Rs. 2,500.00","Rs. 2,000.00",Chandwad,Rohit Shinde,9823904714
17,KLiC Advanced Excel,2026-08-23,2026-107,Payment Tester,9877491882,CONFIRMED,"Rs. 4,500.00","Rs. 1,500.00",—,—,—,"Rs. 1,500.00","Rs. 3,000.00",Chandwad,—,—
18,KLiC Advanced Java,2026-08-23,2026-106,Forensic Student,9987491880,DRAFT,"Rs. 6,000.00",—,—,—,—,Rs. 0.00,"Rs. 6,000.00",Chandwad,—,—
19,KLiC Advanced Excel,2026-08-23,2026-105,Forensic Student,9987491880,DRAFT,"Rs. 4,000.00",—,—,—,—,Rs. 0.00,"Rs. 4,000.00",Chandwad,—,—
20,KLiC Advanced Java,2026-08-23,2026-104,Pooja Shinde,9821877580,DRAFT,"Rs. 6,000.00",—,—,—,—,Rs. 0.00,"Rs. 6,000.00",—,—,—
21,KLiC Advanced Excel,2026-08-23,2026-103,Pooja Shinde,9821877580,DRAFT,"Rs. 4,000.00",—,—,—,—,Rs. 0.00,"Rs. 4,000.00",—,—,—
22,KLiC Advanced Excel,2026-08-23,2026-102,Saurabh Deshmukh,9761876076,CONFIRMED,"Rs. 4,000.00","Rs. 1,000.00",—,—,—,"Rs. 1,000.00","Rs. 3,000.00",Chandwad,—,—
23,KLiC Advanced Java,2026-08-23,2026-101,Pooja Shinde,9821863467,DRAFT,"Rs. 6,000.00",—,—,—,—,Rs. 0.00,"Rs. 6,000.00",—,—,—
